Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
3,40,25,7,21,12,24,6,7,1,2,3,2,2.1,53,30.6,17,10.9,7.1,6.8,5.1,7.6,18.3,26.2
4,45,26,9,29,19,24,6,7,1,2,2,1,2.2,58,31.4,18.3,12.2,7.2,8.1,5.6,8.6,19.5,28.7
3,42,25,8,24,14,26,5,9,0,0,3,1,3,53.5,28.2,15.6,10.8,6.9,7.4,4.7,7.2,17.8,26.6
3,41,27,7,21,14,24,5,6,0,0,2,1,2.5,55,32.5,17.3,11.6,7.5,7,5.2,7.7,18.2,26.6
3,44,27,9,25,14,24,6,13,1,2,2,4,2.9,45.5,24.8,15.5,10.3,6.4,6.8,4.4,6.8,16.9,24.9
3,44,24,9,23,15,26,5,7,1,2,2,2,2.8,56.5,30.7,17.8,11.3,7.4,7.9,5.5,7.7,18.9,28.1
3,45,27,7,25,17,23,5,11,2,2,3,2,3,57.5,33.5,16.4,11.2,7.4,7,5.4,7.9,18.5,27.1
4,45,26,8,31,18,24,6,4,2,2,2,1,2.6,63,35.9,17.8,12.8,7.9,8.9,6,9.3,21.5,32.9
4,50,27,9,33,19,23,6,6,1,2,2,1,2.8,53.5,28.7,17.5,11.2,6.9,7,4.9,7.4,18.7,29.2
5,39,24,5,18,9,21,6,1,1,2,2,3,2.2,46,25.7,15.1,9.5,6.4,6.6,4.5,6.6,16,21.9
5,38,24,5,19,8,23,5,1,0,0,2,1,2.1,55,29.4,17.9,10.7,7.5,6.9,5.1,7,17.4,25.1
3,43,25,6,22,14,24,6,11,1,3,2,1,2.6,60,32.6,18.9,12.2,7.8,7.5,4.8,7.9,18.9,29.3
4,51,26,8,31,18,23,6,6,2,3,2,1,2.7,69,37.4,19.5,14.3,8.5,9.3,5.9,10,23.4,34.8
3,46,24,8,26,14,25,6,11,2,3,2,4,2.7,56,31.3,18.4,11.5,7.8,7.1,5.4,7.6,18.9,27.2
3,49,26,8,23,14,25,7,13,0,0,2,2,2.6,52.5,28.1,17.5,11.3,7.6,6.9,4.9,7.4,18.5,28.4
3,42,24,8,21,14,26,6,5,1,3,2,4,2.9,53.5,28.9,16.8,10.9,7.1,6.9,5.3,7.3,17.6,26.9
3,46,27,7,24,15,26,5,7,2,2,2,4,2.7,55,30.5,16.8,10.7,7.3,7.1,4.8,7.6,17.5,26.7
4,46,25,9,29,17,24,6,7,1,3,1,1,2.2,61,33.9,18.8,12.5,8,8.7,5.7,8.4,20.6,30.9
4,45,26,9,32,19,25,6,5,1,2,2,1,2.9,68,38.8,22,13.6,8.6,9,6,9.1,23,34
4,46,28,9,32,18,23,7,6,2,3,2,3,2.1,60,32.6,17.2,12.2,7.7,8.3,5.6,7.9,20.4,32.4
5,39,25,9,21,8,16,5,4,1,1,2,3,2,60,33.7,18,11.8,7.7,7,5.6,9.8,17,27.4
5,38,26,7,23,7,16,6,2,1,3,3,3,2,51,31,17,10.5,7,6.2,4.8,9,15.3,24
5,36,25,6,16,7,14,5,0,1,2,2,4,2.3,53,31.7,15.4,10,6.8,5.9,5,8.9,14.5,23.5
5,36,25,7,17,9,16,5,3,1,2,3,3,2.2,60,36,16.9,11.4,7.3,6.5,5.2,10.1,18.2,26
5,39,24,8,17,8,16,6,9,1,2,3,3,2,62,38,18.3,11.5,7.4,6.4,5.4,10.6,18.5,28.3
6,43,27,8,23,16,21,5,4,1,1,1,2,2.2,61.6,30.4,18.8,12.8,7.9,7.8,4.5,11.9,20.3,29.9
6,41,26,7,22,14,20,6,6,1,2,1,3,2.3,58.6,29.8,18.3,13,8.6,7.8,4.4,12,19.3,29.6
6,42,24,8,21,14,20,5,6,1,1,2,3,2.2,59.8,30.7,18.4,12.8,8.7,8.7,4.6,10.9,21.5,30.3
6,42,26,7,21,17,21,5,4,1,1,2,3,2.7,62.8,33.1,19,13.1,8.4,7.7,4.2,11.7,21.2,31
6,43,26,8,23,16,18,6,4,1,2,1,3,2.1,61,31.8,18.7,12.7,8.7,7.7,5.3,11.1,21.2,29.8
6,43,24,9,24,16,19,6,10,1,1,2,2,2.5,59,32,18.7,13.1,8.8,7.5,5.5,10.1,21.2,29.8
6,42,27,8,23,16,19,5,7,0,0,2,3,2.2,58.2,33.6,18.3,12.2,7.9,7.1,4.9,10.8,21.1,27.8
6,43,27,8,23,16,20,7,6,1,1,1,3,2.2,59,31,18.1,12.9,8.4,7.1,5.8,10.1,20.8,29.8
6,44,26,9,23,15,21,6,7,1,1,1,3,2.3,61,33.7,18.9,12.8,8.6,7.8,5.4,11.3,20,29.3
6,43,27,8,22,17,18,6,5,0,1,2,4,2.1,56.1,28.5,18.8,12.6,8.3,7.4,5.5,10.8,20.3,29
6,45,26,8,23,16,20,6,4,1,1,2,4,2.2,59,30,18.3,12.7,8.4,7.4,5.6,10.8,21.2,31.1
6,43,27,8,24,16,20,5,6,1,1,1,3,2,63,33.8,19.2,13,8.4,7.7,5.5,11.4,21.1,32.4
6,43,25,8,23,15,20,6,6,0,1,2,4,2.3,62,30.5,18.5,12.8,8,7.6,5.7,11,20,29.7
6,45,27,9,20,15,19,6,5,0,1,1,4,2.1,62,30.5,18.5,13.2,8.7,7.4,5.5,11,20.8,31.5
6,42,27,9,22,16,19,5,6,1,0,2,4,2.2,56.9,28,17.7,12.2,8.3,7.2,5.6,10.6,19,29.8
6,43,28,8,23,16,18,5,5,1,1,1,2,2.3,60.8,28.5,18.6,12.7,8.4,7.6,5.6,10.6,19.8,31
6,44,26,9,22,16,18,6,4,0,1,1,4,2.3,63,33.9,19,12.7,8.3,7.7,5.9,10.9,20.3,29.7
